location_id,name,place_name,street_address,description,category,category_on_map,rating,rating_on_map,legend_label_long,legend_label,latitude,longitude,township,lga,photos_on_map,source_layer,quality,status,synced_photos
toilet-disabled-6,TOILET - disabled [POOR],,,"An old toilet block, so it is what it is. But for its age, not bad. Okay for wheelie-walkers, may be manageable with smaller wheelchairs. A big issue is how to access the toilet block! One access is too steep, another is too bumpy and narrow, and the final option is a long walk around the out-side gym.",Toilets,Toilets,red,red,Accessible toilet - barriers,barriers,-23.129023,150.749442,YEPPOON,Livingstone,6,Toilets,address missing,,
toilet-disabled-7,TOILET - disabled [GOOD],,,"Older style disabled toilet, fortunately with modern inclusions. Door is a swing door with light touch. Hand rial on RIGHT hand side of toilet.",Toilets,Toilets,green,green,Accessible toilet - good,good,-23.132714,150.7493,YEPPOON,Livingstone,7,Toilets,address missing,,
toilet-disability-3,TOILET - disability [BAD],,,"ISSUES: no lock on door, no rails, no stoma-hook",Toilets,Toilets,red,red,Accessible toilet - barriers,barriers,-23.128424,150.746577,YEPPOON,Livingstone,10,Toilets,address missing,,
toilet-disabled-8,TOILET - disabled [POOR],,,"An older toilet block, so is not perfect for all wheelchairs. - Narrow entrance. - No stoma hook. - Railing on the LEFT-hand-side - Includes basic shower",Toilets,Toilets,red,red,Accessible toilet - barriers,barriers,-23.259584,150.828372,EMU PARK,Livingstone,6,Toilets,address missing,,
toilet-disabled-9,TOILET - disabled [EXCELLENT],,,"A modern disabled toilet block. Manual door opening, however the door is relatively light. FEATURES: Railings on RIGHT-hand-side of toilet. Stoma hook (albeit not placed in the most useful spot). Mirror Basic shower with sitting bench",Toilets,Toilets,green,green,Accessible toilet - good,good,-23.143333,150.760225,YEPPOON,Livingstone,9,Toilets,address missing,,
toilet-disabled-10,TOILET - disabled [POOR],,,"Narrow, heavy doors. Mostly broken....",Toilets,Toilets,red,red,Accessible toilet - barriers,barriers,-23.134449,150.749815,YEPPOON,Livingstone,1,Toilets,address missing,,
toilet-disabled-11,TOILET - disabled [BAD],,,"THIS TOILET IS OUT OF ORDER A public toilet adjacent to the bus stop that caters for wheelchairs. However, the space is slightly small for electric wheelchairs. Entrance is relatively narrow. Used by the public extensively so will not be cleanest....",Toilets,Toilets,red,red,Accessible toilet - barriers,barriers,-23.129762,150.747168,YEPPOON,Livingstone,4,Toilets,address missing,,
toilet-disabled-12,TOILET - disabled [EXCELLENT],,,Easy to open door. Rails on RIGHT-hand-side. Fully equipped. BEST FEATURE is the regular and quality cleaning!,Toilets,Toilets,green,green,Accessible toilet - good,good,-23.128377,150.747573,YEPPOON,Livingstone,0,Toilets,no photos; address missing,,
toilet-disability-4,TOILET - disability [BAD],,,"As the sign says, the nearest disability toilet is the Surf Lifesaving Club. NOTE: The toilet at Surf Lifesaving Club is an old block not accessible by standard electric wheelchairs. Pathway access to that toilet block can be checked on this map....",Toilets,Toilets,red,red,Accessible toilet - barriers,barriers,-23.130397,150.749464,YEPPOON,Livingstone,2,Toilets,address missing,,
toilet-disabled-13,TOILET - disabled [OKAY],,,"Large room, that also has a shower. Railing on LEFT hand side, but is quite high. Hooks for stoma bags, but not in the convenient location. Hand dryer may be challenging for some wheelchair users. Door is narrow; not too heavy, but will require effort. High-use toilet so not highly clean.",Toilets,Toilets,orange,orange,Accessible toilet - check before you go,check before you go,-23.134527,150.749976,YEPPOON,Livingstone,7,Toilets,address missing,,
toilet-disabled-14,TOILET - disabled [EXCELLENT],,,"Fully equipped Changing Place. It's a full bathroom with ceiling hoist, privacy screens, a bed that hydraulically raised and lowers. WORLD CLASS.. You will need to ask Reception for the KEY",Toilets,Toilets,green,green,Accessible toilet - good,good,-23.147693,150.761541,YEPPOON,Livingstone,7,Toilets,address missing,,
parking-disabled,PARKING - disabled [OKAY],,,"Allows for exit on LEFT-hand-side of vehicle. Standard width of a normal car-park. The only wat to access the footpath is to walk to your left and use the driveway. *NOT suitable if you intend to cross the road* While it is near to a pedestrian crossing, the accessibility beyond that crossing is NOT SUITABLE for wheelchairs. It may be okay for wheelie-walkers however the ramp is on the steep side. NOT suitable for rear-vehicle exit due to traffic flow and narrower road",Parking,Parking,orange,orange,Accessible parking - check before you go,check before you go,-23.128867,150.74822,YEPPOON,Livingstone,3,Car Park (disability),address missing,,
parking-disabled-2,PARKING - disabled [OKAY],,,"Conveniently located outside a pharmacy. Wider than average standard parking bay. Has a kerb cut-out on the LEFT-hand side. Often occupied but is mainly used for shorter stays, so has regular turn-over of vehicles.",Parking,Parking,orange,orange,Accessible parking - check before you go,check before you go,-23.128941,150.747076,YEPPOON,Livingstone,2,Car Park (disability),address missing,,
parking-disabled-3,PARKING - disabled [GOOD],,,You can drive in and exit from both directions of the street. Has plenty of space for exit on one-side of the car (which side depends on which direction you were travelling) Has a cut-out to allow easy transition from road to the raised pedestrian crossing. NOT SUITABLE at all for rear-of-vehicle access due to traffic flows.,Parking,Parking,green,green,Accessible parking - good,good,-23.128825,150.746715,YEPPOON,Livingstone,3,Car Park (disability),address missing,,
parking-disabled-4,PARKING - disabled [EXCELLENT],,,"These new carparking spots are flat with no gutters to climb and plenty of space of exiting the vehicle to the side, Rear-entry still goes out into the carpark, but as these spots are at the end of the carpark site it is safe.",Parking,Parking,green,green,Accessible parking - good,good,-23.147912,150.761754,YEPPOON,Livingstone,0,Car Park (disability),no photos; address missing,,
parking-disabled-5,PARKING - disabled [GOOD],,,You can drive in and exit from both directions of the street. Has plenty of space for exit on one-side of the car (which side depends on which direction you were travelling) Has a cut-out to allow easy transition from road to the raised pedestrian crossing. NOT SUITABLE at all for rear-of-vehicle access due to traffic flows.,Parking,Parking,green,green,Accessible parking - good,good,-23.128818,150.746569,YEPPOON,Livingstone,4,Car Park (disability),address missing,,
carpark-disabled,CARPARK - disabled [STANDARD],,,An incredible FOUR disabled car-parking spots in a row (and nowhere to go).,Parking,Parking,orange,orange,Accessible parking - check before you go,check before you go,-23.133474,150.748812,YEPPOON,Livingstone,1,Car Park (disability),address missing,,
parking-disabled-6,PARKING - disabled [GOOD],,,"Plenty of space to exit from RIGHT-hand-side of vehicle. As the spot is at the very end of the carpark, rear-exit loading is possible. Exercise caution and keep watch for other cars. ISSUES: Lioness Park has NO disabled toilet. A concrete pathway connects from the carpark to the BBQ and the accessible picnic table.",Parking,Parking,green,green,Accessible parking - good,good,-23.156419,150.766998,YEPPOON,Livingstone,2,Car Park (disability),address missing,,
carpark-disabled-2,CARPARK - disabled [EXCELLENT],,,"The only public undercover disabled parking for disability. Wide bays, allowing for extra-space for exit from vehicle on either left or right hand side.",Parking,Parking,green,green,Accessible parking - good,good,-23.13,150.748367,YEPPOON,Livingstone,0,Car Park (disability),no photos; address missing,,
parking-disabled-7,PARKING - disabled [EXCELLENT],,,Specially designed parking spot for disabled. Has plenty of room LEFT or RIGHT exit. Is far enough away from traffic that may allow rear-vehicle ramp access - but please take care of traffic,Parking,Parking,green,green,Accessible parking - good,good,-23.129681,150.74306,YEPPOON,Livingstone,1,Car Park (disability),address missing,,
carpark-disabled-3,CARPARK - disabled [EXCELLENT],,,On-street parking outside The Station on James Street. - Rear loading,Parking,Parking,green,green,Accessible parking - good,good,-23.128327,150.742206,YEPPOON,Livingstone,3,Car Park (disability),address missing,,
parking-disabled-8,PARKING - disabled [OKAY],,,"Located just near the entrance to the shopping centre (BAY PLAZA) Is a normal parking bay marked for disabled, so has no special features. Exit is from RIGHT-hand-side of vehicle. Rear exit will require extreme caution and is not recommended here.",Parking,Parking,orange,orange,Accessible parking - check before you go,check before you go,-23.129002,150.741871,YEPPOON,Livingstone,2,Car Park (disability),address missing,,
carpark-disabled-4,CARPARK - disabled [OKAY],,,Located undercover. Near Australia Post. Located near lift for easy access to the retail level. Some spots have extra space for exiting vehicle. No steps! A small ramp allows wheelchairs to climb from road level to path level. No special features.,Parking,Parking,orange,orange,Accessible parking - check before you go,check before you go,-23.132345,150.737376,YEPPOON,Livingstone,0,Car Park (disability),no photos; address missing,,
carpark-disabled-5,CARPARK - disabled [EXCELLENT],,,"Located behind the toilet block. - Plenty of spec on RIGHT-hand-side exit. - As this is a car-park, you could rear-exit the vehicle if you are careful and watch for carpark traffic.",Parking,Parking,green,green,Accessible parking - good,good,-23.25941,150.828303,EMU PARK,Livingstone,1,Car Park (disability),address missing,,
parking-disability,PARKING - disability [EXCELLENT],,,"1 of 2 bays. Undercover, wide space on both driver and passenger sides. Not suitable for rear-exit, but can be accommodated within the precinct.",Parking,Parking,green,green,Accessible parking - good,good,-23.132685,150.749177,YEPPOON,Livingstone,1,Car Park (disability),address missing,,
carpark-disabled-6,CARPARK - disabled [EXCELLENT],,,"Allows for exit on LEFT-hand-side of vehicle. As this is a carpark, you may exit rear of vehicle but be careful of passing carpark traffic.",Parking,Parking,green,green,Accessible parking - good,good,-23.259246,150.828503,EMU PARK,Livingstone,1,Car Park (disability),address missing,,
parking-disability-2,PARKING - disability [OKAY],,,"Handy location, right outside the Sailing Club entrance. 2 spaces, offering exit on either LEFT or RIGHT and vehicle. Quiet cul-de-sac so allows for rear-vehicle exit with caution. NOTE: There is a poorly built transition from carpark to footpath. Beware as this is a trip hazard.",Parking,Parking,orange,orange,Accessible parking - check before you go,check before you go,-23.132765,150.749789,YEPPOON,Livingstone,3,Car Park (disability),address missing,,
parking-disability-3,PARKING - disability [EXCELLENT],,,2 spaces with exit on either RIGHT or LEFT hand side. NOTE: there is seamless transition to footpath. But there is an annoying sign in the middle! Hopefully you can navigate around it. It is a quiet cul-de-sac and may allow for rear vehicle exit with high-caution but there are better locations around.,Parking,Parking,green,green,Accessible parking - good,good,-23.131833,150.748968,YEPPOON,Livingstone,5,Car Park (disability),address missing,,
parking-disability-4,PARKING - disability [GOOD],,,,Parking,Parking,green,green,Accessible parking - good,good,-23.132618,150.749244,YEPPOON,Livingstone,0,Car Park (disability),description too short/empty; no photos; address missing,,
parking-disabled-9,PARKING - disabled [GOOD],,,Plenty of space to exit vehicle from LEFT-hand-side. Cut-out on pathway allows easy transition from road to footpath. Often available.,Parking,Parking,green,green,Accessible parking - good,good,-23.128483,150.743827,YEPPOON,Livingstone,3,Car Park (disability),address missing,,
parking-disability-5,PARKING disability [EXCELLENT],,,"Two spaces, allowing for a wide berth on either LEFT only, or both LEFT and RIGHT hand side of vehicle. Located in a cul-de-sac carpark, may allow for rear-vehicle exit while exercising caution. Right in front is a cutout (chevron) to the footpath (pictured),",Parking,Parking,green,green,Accessible parking - good,good,-23.13349,150.749787,YEPPOON,Livingstone,7,Car Park (disability),address missing,,
parking-disabled-10,PARKING - disabled [GOOD],,,"Plenty of room LEFT and RIGHT-hand-side vehicle exit. Just on front of the James St Medical Centre. If the space is full and you need to visit the Medical Centre, there is a private carpark designated for disability visitors to the Centre near the front door, and is undercover.",Parking,Parking,green,green,Accessible parking - good,good,-23.128565,150.744507,YEPPOON,Livingstone,3,Car Park (disability),address missing,,
parking-disabled-11,PARKING - disabled [OKAY],,,"Good for exiting back-seats of vehicle. Driver and front-passenger will have less space to exit, especially if other cars are parked next to. Cutout allows easy transition between road and footpath.",Parking,Parking,orange,orange,Accessible parking - check before you go,check before you go,-23.128766,150.744275,YEPPOON,Livingstone,2,Car Park (disability),address missing,,
parking-disability-6,PARKING - disability [OKAY],,,"Only safe exit from vehicle is on the LEFT-hand-side. Rear exit is possible, with caution, in the 2nd bay.. ISSUE: The cutouts from road-to-pathway are misaligned with the passenger doors. This makes it difficult for mobility-challenged people to exit the vehicle. Recommend you park your car away from the kerb as possible for passenger exit. NOTE: Thos who place their wheelchair in the boot, use the 2nd spot. The 1st spot may have another car park behind you and block access to your boot.",Parking,Parking,orange,orange,Accessible parking - check before you go,check before you go,-23.12818,150.746449,YEPPOON,Livingstone,2,Car Park (disability),address missing,,
parking-disabled-12,PARKING - disabled [GOOD],,,"Allows for exit on RIGHT-hand-side. Adjacent to a cut-out to allow access from road-to-footpath. Rear-vehicle access is possible as there is low traffic flow that tends to move slowly. However, always exercise care (as is not purpose builtfor rear-exiting)",Parking,Parking,green,green,Accessible parking - good,good,-23.129627,150.749352,YEPPOON,Livingstone,3,Car Park (disability),address missing,,
parking-disability-7,PARKING - disability [EXCELLENT],,,"2 bays, 1 offering both LEFT and RIGHT exit, the other only LEFT. In a quiet road so might allow rear-vehicle exit with caution.",Parking,Parking,green,green,Accessible parking - good,good,-23.134827,150.749783,YEPPOON,Livingstone,3,Car Park (disability),address missing,,
parking-disabled-13,PARKING - disabled [GOOD],,,"Standard parking bays. Option for LEFT and RIGHT-hand-side exit. Rear exit will require extreme caution. ISSUE: Very often occupied. However, there are several 'courtesy' spots adjacent that may be useful.",Parking,Parking,green,green,Accessible parking - good,good,-23.128722,150.741044,YEPPOON,Livingstone,1,Car Park (disability),address missing,,
parking-disabled-14,PARKING - disabled [OKAY],,,"Enables good access to the bottle shop, which includes a ""wombat"" crossing from car-park to shop entrance. RIGHT-hand-side vehicle exit as plenty of room. Real vehicle access is in the main thoroughfare of the carpark and requires high caution.",Parking,Parking,orange,orange,Accessible parking - check before you go,check before you go,-23.129214,150.742474,YEPPOON,Livingstone,1,Car Park (disability),address missing,,
parking-disabled-15,PARKING - disabled [EXCELLENT],,,Two disabled carparks near the Hill Street Bus Interchange. Plenty of room for a choice of LEFT or RIGHT-hand-exit. Smooth pathway from carpark to footpath. Rear vehicle exit is suitable but exercise caution.,Parking,Parking,green,green,Accessible parking - good,good,-23.129694,150.747093,YEPPOON,Livingstone,3,Car Park (disability),address missing,,
amenities-bbq-for-disabled,AMENITIES - bbq for disabled [GOOD],,,Enables wheelchair users to use a free electric BBQ. It is undercover to protect users from sun. A concrete pathway connects from the carpark to the BBQ and the accessible picnic table. NO DISABLED TOILET NEARBY,Venue,Venue,green,green,Venue - you can get in,good,-23.156315,150.767338,YEPPOON,Livingstone,3,AMENITIES adapted for disabled,address missing,,
amenities-picnic-table-for-wheelchair,AMENITIES - picnic table for wheelchair [OKAY],,,"The picnic table enables a wheelchair users to scoot under the table-top. A concrete pathway ensures stable ground for any mobility device or impaired walker. However, there is: 1. NO shade. 2. Table is small, perhaps 2-3 persons max. A concrete pathway connects from the carpark to the BBQ and the accessible picnic table. NO DISABLED TOILET NEARBY",Venue,Venue,orange,orange,Venue - partly accessible,check before you go,-23.156282,150.767275,YEPPOON,Livingstone,1,AMENITIES adapted for disabled,address missing,,
pathway-brick-pavers,PATHWAY - brick pavers [RISKY],,,"While generally good, some of the brick paving is becoming unstable and uneven. Be careful. [260728]",Pathway,Pathway,red,red,Route - barriers,barriers,-23.130944,150.747451,YEPPOON,Livingstone,1,PATHWAY ACCESS - disability,address missing,,
pathway-emu-park-beach,PATHWAY - Emu Park Beach [EXCELLENT at times],,,"This ramp enables wheelchair and wheelie-walker access to the beach. Due to weather, tides and other ocean factors, the transition from the ramp to the beach *may* at times not be suitable for access. IF YOU HAVE ISSUES WITH ACCESS, PLEASE ASK THE LIFEGUARD FOR ASSISTANCE!",Pathway,Pathway,orange,orange,Route - difficult,check before you go,-23.258813,150.829214,EMU PARK,Livingstone,3,PATHWAY ACCESS - disability,conditional rating - human set ORANGE; address missing,,
pathway,PATHWAY [EXCELLENT],,,"An excellent pathway: modern, wide, smooth with tactile indicators. Near disability parking. [260728]",Pathway,Pathway,green,green,Route - easy going,good,-23.133146,150.749695,YEPPOON,Livingstone,1,PATHWAY ACCESS - disability,address missing,,
pathway-not-suitable,PATHWAY - not suitable [POOR],,,This pathway should be avoided for: 1. Wheelchairs. 2. Wheelie-walkers. 3. Falls-risk 4. Weak walker. *TAKE ALTERNATIVE PATH on the RIGHT-hand-side of the toilets. ISSUES: 1. A small lip between bricks and cement pathway is deceiving to the eye: it is bigger than it looks! Trip hazard. 2. Steepness is deceiving to the eye: It is steep and can be slippery in wet.,Pathway,Pathway,red,red,Route - barriers,barriers,-23.128365,150.746506,YEPPOON,Livingstone,4,PATHWAY ACCESS - disability,address missing,,
pathway-gutter,PATHWAY -gutter - [BAD],,,This pathway is inaccessible via any mobility device due to there being no cut-out on the gutter.,Pathway,Pathway,red,red,Route - barriers,barriers,-23.128925,150.748128,YEPPOON,Livingstone,1,PATHWAY ACCESS - disability,address missing,,
pathway-brick-pavers-up-an-incline,PATHWAY - brick pavers up an incline [OKAY],,,Gradual gradient suitable for electric wheelchairs. Be cautious in wet weather as bricks may be slightly slippery.,Pathway,Pathway,orange,orange,Route - difficult,check before you go,-23.128526,150.746929,YEPPOON,Livingstone,1,PATHWAY ACCESS - disability,address missing,,
pathway-beach-mat,PATHWAY - beach mat [MISSING!],,,"*CURRENTLY OUT OF OPERATION* Council has removed the beach mat. No date has been provided for its return. The pathway ends at a pile of debris, and the soft sand is not suitable for mobility challenged.",Pathway,Pathway,red,red,Route - barriers,barriers,-23.259041,150.82926,EMU PARK,Livingstone,0,PATHWAY ACCESS - disability,unrecognised rating 'MISSING!' - defaulted RED; no photos; address missing,,
pathway-stairs-no-ramp,"PATHWAY - stairs, no ramp [BAD]",,,Alternative route: take wheelchair via the car park to the back side-entrance. If in a vehicle there is a loading bay for drop-off (but it is sometimes occupied),Pathway,Pathway,red,red,Route - barriers,barriers,-23.128097,150.746348,YEPPOON,Livingstone,2,PATHWAY ACCESS - disability,address missing,,
pathway-2,PATHWAY - [DANGEROUS],,,*DO NOT USE* No mobility device or mobility-challenged person should use this pathway! The path crosses the path of a steep ramp used by the Surf Life Saving Club for vehicles. The wheels of wheelchairs may unexpectedly turn towards the down ramp. The ramp is too steep for most electric wheelchairs to navigate.,Pathway,Pathway,red,red,Route - barriers,barriers,-23.129095,150.7496,YEPPOON,Livingstone,0,PATHWAY ACCESS - disability,no photos; address missing,,
pathway-steps,PATHWAY - steps [POOR],,,"It looks fine at first glance, BUT BEWARE YOU GET STUCK! Stairs or a very thin ramp. Tight turning circle that wheelchairs and many wheelie-walkers will not be able to navigate.",Pathway,Pathway,red,red,Route - barriers,barriers,-23.129019,150.748352,YEPPOON,Livingstone,5,PATHWAY ACCESS - disability,address missing,,
pathway-next-to-car-park,PATHWAY - next to car park [OFTEN BLOCKED BY VEHICLES],,,"Good width pathway, and smooth for walkers. However, vehicles often block passage for wheelchairs and wheelie-walkers. ALTERNATIVE ROUTES AVAILABLE",Pathway,Pathway,red,red,Route - barriers,barriers,-23.129679,150.749403,YEPPOON,Livingstone,1,PATHWAY ACCESS - disability,unrecognised rating 'OFTEN BLOCKED BY VEHICLES' - defaulted RED; address missing,,
pathway-beach-front,PATHWAY - beach front [EXCELLENT],,,"Superb new pathway for all-abilities. Unfortunately, they put sandstone blocks in the middle, impeding mobility-scooters, wheelchairs but is OK for wheelie-walkers.",Pathway,Pathway,green,green,Route - easy going,good,-23.133171,150.750127,YEPPOON,Livingstone,2,PATHWAY ACCESS - disability,address missing,,
pathway-3,PATHWAY [EXCELLENT],,,This is a modern wide pathway with gentle slope. Perfect for wheelchairs and wheelie-walkers.,Pathway,Pathway,green,green,Route - easy going,good,-23.12833,150.746257,YEPPOON,Livingstone,0,PATHWAY ACCESS - disability,no photos; address missing,,
pathway-4,PATHWAY [POOR],,,This is a very narrow pathway. It is slightly bumpy. Cars park their ends over the pathway making it extremely narrow,Pathway,Pathway,red,red,Route - barriers,barriers,-23.128636,150.742082,YEPPOON,Livingstone,2,PATHWAY ACCESS - disability,address missing,,
pathway-5,PATHWAY [STAIRS],,,Beach is only accessible via stairs.,Pathway,Pathway,red,red,Route - barriers,barriers,-23.155723,150.76701,YEPPOON,Livingstone,0,PATHWAY ACCESS - disability,unrecognised rating 'STAIRS' - defaulted RED; no photos; address missing,,
pathway-6,PATHWAY - [EXCELLENT],,,"Gentle slope as possible, wide and smooth path.",Pathway,Pathway,green,green,Route - easy going,good,-23.128171,150.745776,YEPPOON,Livingstone,1,PATHWAY ACCESS - disability,address missing,,
pathway-7,PATHWAY- [POOR],,,"The turn is sharp, the path narrows so dramatically that wheelchair and wheelie-walkers may get stuck (it has happened before!). The path leading to this is also quite steep.",Pathway,Pathway,red,red,Route - barriers,barriers,-23.129072,150.749023,YEPPOON,Livingstone,3,PATHWAY ACCESS - disability,address missing,,
road-crossing,ROAD CROSSING [UNSAFE],,,"Whilst the area designated for crossing is in itself okay, there are several things to note: 1. The pathway access on the CBD side of this is inaccessible to wheelchairs and most wheelie-walkers. 2. The speed of traffic exiting the round-about is excessive and this area is not highly visible to traffic turning into this part of the road. 3. Uneveness of road surface is a trips risk, and falling here could cause you to fall into on-coming traffic. 4. You will need to take the ""long-way"" around the surf-life-saving club (pictured), and at least one route is hazardous (see other entries on this map for details) DO NOT BE DECIEVED - THIS AREA IS DANGEROURS",Pathway,Pathway,red,red,Route - barriers,barriers,-23.128932,150.749162,YEPPOON,Livingstone,5,PATHWAY ACCESS - disability,unrecognised rating 'UNSAFE' - defaulted RED; address missing,,
pathway-8,PATHWAY [RISK],,,This ramp to the toilets and pathways is very steep and may not be suitable for even mobility-scooters.,Pathway,Pathway,red,red,Route - barriers,barriers,-23.129077,150.749528,YEPPOON,Livingstone,3,PATHWAY ACCESS - disability,address missing,,
pathway-9,PATHWAY [POOR],,,"Be careful of the slant of the footpath when it crosses the driveway. Wheelchairs and wheelie-walkers may find their wheels suddenly turn... Further on, the footpath narrows dramatically, challenging for even wheelie-walkers. Pathway is almost perpetually covered with garden debris. There are numerous trip-hazards. Ironically, this leads to a disability elevator! The entrance to the elevator is poor and caution is highly recommended.",Pathway,Pathway,red,red,Route - barriers,barriers,-23.129172,150.749383,YEPPOON,Livingstone,7,PATHWAY ACCESS - disability,address missing,,
pathway-disabled,PATHWAY - disabled [EXCELLENT],,,"World-class ramps for all-abilities. *MAY ALLOW ACCESS TO BEACH - HOWEVER THE SAND SHIFTS SO PLEASE ASK A FRIEND TO DO A PRE-CHECK* [The final path to the beach is narrow and without a railing... if you cannot easily reverse your wheelchair or make a tight-turn around in your wheelie-walker, a pre-check is highly recommended) GOOD FEATURES: Wide pathways. Railings on both sides. Gentle slopes. Pathway lighting. HOWEVER, DO NOTE: 1. As the pathways age, trip hazards are appearing so do exercise caution for falls-risk persons. 2. There maybe some shallow puddles of water on occasions, but there is normally enough space to navigate around them, 3. Some turns are inexplicably narrow, so may be challenging for some larger electric wheelchairs and mobility-scooters to navigate.",Pathway,Pathway,green,green,Route - easy going,good,-23.130642,150.749738,YEPPOON,Livingstone,10,PATHWAY ACCESS - disability,address missing,,
pathway-10,PATHWAY [POOR],,,"The pathway takes you from the carpark to the entrance of the club. It is narrow, changing and high gradient, sharp turns that may be challenging for electric wheelchairs.",Pathway,Pathway,red,red,Route - barriers,barriers,-23.132692,150.749375,YEPPOON,Livingstone,5,PATHWAY ACCESS - disability,address missing,,
pathway-disabled-2,PATHWAY - disabled [POOR],,,"Access to beach. Ask a friend to pre-check the sand levels before venturing to this pathway. *MAY ALLOW ACCESS TO BEACH - HOWEVER THE SAND SHIFTS SO PLEASE ASK A FRIEND TO DO A PRE-CHECK* [The final path to the beach is narrow and without a railing... if you cannot easily reverse your wheelchair or make a tight-turn around in your wheelie-walker, a pre-check is highly recommended)",Pathway,Pathway,red,red,Route - barriers,barriers,-23.130678,150.749871,YEPPOON,Livingstone,3,PATHWAY ACCESS - disability,address missing,,
pathway-disabled-3,PATHWAY - disabled [POOR],,,"Just look at how these pathways suddenly change direction, narrows and is replete with trip hazards. It could fool vision-impaired people to continue flowing the line of the footpath and fall onto the road. This has been witnessed during events when crowd numbers block view of the footpath. *EVEN ABLED-BODIED PEOPLE TRIP HERE* Also, can be scary for electric wheelchair users and mobility-scooters to navigate this odd design. When full of crowds, it's just downright a serious accident waiting to happen.",Pathway,Pathway,red,red,Route - barriers,barriers,-23.129969,150.749397,YEPPOON,Livingstone,1,PATHWAY ACCESS - disability,address missing,,
pathway-11,PATHWAY [RISK],,,Too steep. Risk of wheelchair tipping or lacking power.,Pathway,Pathway,red,red,Route - barriers,barriers,-23.128437,150.746705,YEPPOON,Livingstone,0,PATHWAY ACCESS - disability,no photos; address missing,,
library,LIBRARY [OKAY],,,"Not accessible by modern electricc wheelchairs or mobility scooters as the door is narrow. Otherwise, the ramp is acceptable for wheelie-walkers.",Venue,Venue,orange,orange,Venue - partly accessible,check before you go,-23.256372,150.827039,EMU PARK,Livingstone,0,VENUE ACCESS,no photos; address missing,,
